sequence_id,order_id,order_type,item_id,item_quantity,order_arrival,source_order_id
155,1232,1,69,6,52,DO_0000401288
156,1232,1,81,6,52,DO_0000401288
157,1232,1,94,6,52,DO_0000401288
158,1232,1,143,3,52,DO_0000401288
159,1232,1,153,6,52,DO_0000401288
160,1232,1,181,1,52,DO_0000401288
161,1232,1,184,1,52,DO_0000401288
162,1232,1,283,12,52,DO_0000401288
163,1232,1,291,4,52,DO_0000401288
164,1232,1,323,6,52,DO_0000401288
165,1232,1,349,6,52,DO_0000401288
166,1232,1,2007,1,52,DO_0000401288
167,1232,1,2151,1,52,DO_0000401288
168,1232,1,2155,1,52,DO_0000401288
169,1232,1,2176,1,52,DO_0000401288
170,1232,1,2184,1,52,DO_0000401288
171,1232,1,2272,1,52,DO_0000401288
172,1232,1,2314,1,52,DO_0000401288
173,1232,1,2325,1,52,DO_0000401288
174,1232,1,2376,1,52,DO_0000401288
175,1232,1,2403,1,52,DO_0000401288
176,1232,1,2419,1,52,DO_0000401288
177,1232,1,2426,1,52,DO_0000401288
178,1232,1,2430,1,52,DO_0000401288
179,1232,1,2492,2,52,DO_0000401288
180,1232,1,3092,2,52,DO_0000401288
181,1232,1,3098,2,52,DO_0000401288
182,1232,1,3166,5,52,DO_0000401288
183,1232,1,3172,3,52,DO_0000401288
184,1232,1,3227,1,52,DO_0000401288
185,1232,1,3652,6,52,DO_0000401288
186,1232,1,3666,6,52,DO_0000401288
187,1232,1,3668,6,52,DO_0000401288
188,1233,1,2102,1,52,DO_0000401289
189,1233,1,2113,2,52,DO_0000401289
190,1233,1,2210,2,52,DO_0000401289
191,1233,1,2348,1,52,DO_0000401289
192,1233,1,2403,1,52,DO_0000401289
193,1233,1,2539,1,52,DO_0000401289
194,1233,1,2638,1,52,DO_0000401289
195,1233,1,3104,5,52,DO_0000401289
196,1233,1,3124,5,52,DO_0000401289
197,1233,1,3173,5,52,DO_0000401289
198,1234,1,1176,2,52,DO_0000401313
199,1234,1,2408,1,52,DO_0000401313
200,1234,1,2527,2,52,DO_0000401313
201,1234,1,3410,2,52,DO_0000401313
202,1235,1,301,3,52,DO_0000401315
203,1235,1,323,12,52,DO_0000401315
204,1235,1,2222,1,52,DO_0000401315
205,1235,1,2282,1,52,DO_0000401315
206,1235,1,2327,2,52,DO_0000401315
207,1235,1,3075,2,52,DO_0000401315
208,1235,1,3135,2,52,DO_0000401315
209,1236,1,2048,6,52,DO_0000401317
210,1236,1,3077,6,52,DO_0000401317
211,1243,1,2003,1,52,DO_0000401358
212,1243,1,2330,1,52,DO_0000401358
213,1243,1,2475,1,52,DO_0000401358
214,1243,1,2712,1,52,DO_0000401358
215,1243,1,3312,4,52,DO_0000401358
216,1243,1,3759,6,52,DO_0000401358
217,1244,1,760,1,52,DO_0000401366
218,1247,1,2222,1,52,DO_0000401387
219,1247,1,3655,6,52,DO_0000401387
220,1247,1,3709,3,52,DO_0000401387
221,1247,1,3808,6,52,DO_0000401387
222,1250,1,1979,1,52,DO_0000401395
223,1250,1,1992,1,52,DO_0000401395
224,1250,1,2002,1,52,DO_0000401395
225,1250,1,2008,2,52,DO_0000401395
226,1250,1,2016,2,52,DO_0000401395
227,1250,1,2120,1,52,DO_0000401395
228,1250,1,2138,1,52,DO_0000401395
229,1250,1,2151,1,52,DO_0000401395
230,1250,1,2155,1,52,DO_0000401395
231,1250,1,2176,1,52,DO_0000401395
232,1250,1,2177,1,52,DO_0000401395
233,1250,1,2180,1,52,DO_0000401395
234,1250,1,2230,1,52,DO_0000401395
235,1250,1,2298,1,52,DO_0000401395
236,1250,1,2327,2,52,DO_0000401395
237,1250,1,2406,1,52,DO_0000401395
238,1251,1,174,4,52,DO_0000401415
239,1251,1,258,4,52,DO_0000401415
240,1251,1,1993,1,52,DO_0000401415
241,1251,1,2005,1,52,DO_0000401415
242,1251,1,2120,1,52,DO_0000401415
243,1251,1,2177,1,52,DO_0000401415
244,1251,1,2184,1,52,DO_0000401415
245,1251,1,2186,1,52,DO_0000401415
246,1251,1,3172,3,52,DO_0000401415
247,1251,1,3655,6,52,DO_0000401415
248,1251,1,3666,6,52,DO_0000401415
249,1252,1,1978,2,52,DO_0000401707
250,1252,1,1991,2,52,DO_0000401707
251,1252,1,2102,2,52,DO_0000401707
252,1252,1,2150,3,52,DO_0000401707
253,1252,1,2162,3,52,DO_0000401707
254,1252,1,2376,4,52,DO_0000401707
255,1252,1,2402,2,52,DO_0000401707
256,1252,1,2413,2,52,DO_0000401707
257,1252,1,2615,1,52,DO_0000401707
258,1252,1,2618,1,52,DO_0000401707
259,1252,1,3072,3,52,DO_0000401707
260,1252,1,3103,3,52,DO_0000401707
261,1252,1,3107,3,52,DO_0000401707
262,1252,1,3125,3,52,DO_0000401707
263,1252,1,3149,3,52,DO_0000401707
264,1266,1,1016,1,52,DO_0000401789
265,1266,1,1485,1,52,DO_0000401789
266,1266,1,1817,3,52,DO_0000401789
267,1271,1,439,1,52,DO_0000401798
268,1271,1,548,1,52,DO_0000401798
269,1271,1,2173,1,52,DO_0000401798
270,1271,1,2512,1,52,DO_0000401798
271,1271,1,2513,1,52,DO_0000401798
272,1271,1,2523,1,52,DO_0000401798
273,1271,1,3084,5,52,DO_0000401798
274,1271,1,3088,3,52,DO_0000401798
275,1294,1,3065,5,52,DO_0000402013
276,1294,1,3098,2,52,DO_0000402013
277,1294,1,3138,2,52,DO_0000402013
278,1294,1,3149,3,52,DO_0000402013
279,1294,1,3541,3,52,DO_0000402013
280,1294,1,3684,3,52,DO_0000402013
281,1294,1,3765,9,52,DO_0000402013
282,1294,1,3777,6,52,DO_0000402013
283,1294,1,3777,3,52,DO_0000402013
284,1294,1,3778,3,52,DO_0000402013
285,1294,1,3778,6,52,DO_0000402013
286,1294,1,3806,6,52,DO_0000402013
287,1294,1,3808,3,52,DO_0000402013
288,1519,1,8,24,58,DO_0000404362
289,1480,1,300,48,59,DO_0000404198
290,1481,1,368,12,59,DO_0000404206
291,1535,1,300,48,59,DO_0000404692
292,1573,1,294,24,59,DO_0000404858
293,1645,1,336,24,59,DO_0000406403
294,1646,1,280,48,59,DO_0000406404
295,1647,1,283,24,59,DO_0000406406
296,1648,1,171,12,59,DO_0000406407
297,1649,1,177,16,59,DO_0000406408
298,1649,1,177,8,59,DO_0000406408
299,1650,1,16,24,59,DO_0000406410
300,1651,1,329,24,59,DO_0000406413
301,1652,1,32,48,59,DO_0000406416
302,1653,1,260,24,59,DO_0000406418
303,1654,1,3878,24,59,DO_0000406419
304,1655,1,32,48,59,DO_0000406420
305,1656,1,268,24,59,DO_0000406421
306,1657,1,280,48,59,DO_0000406422
307,1482,1,368,24,60,DO_0000404219
308,1520,1,300,44,60,DO_0000404379
309,1520,1,300,4,60,DO_0000404379
310,1574,1,300,44,60,DO_0000404881
311,1574,1,300,4,60,DO_0000404881
312,1575,1,368,24,60,DO_0000404883
313,1622,1,3895,96,60,DO_0000406329
314,1623,1,287,24,60,DO_0000406330
315,1624,1,3895,96,60,DO_0000406331
316,1625,1,3895,96,60,DO_0000406333
317,1626,1,13,1,60,DO_0000406340
318,1632,1,306,24,60,DO_0000406362
319,1633,1,3895,96,60,DO_0000406365
320,1634,1,182,24,60,DO_0000406367
321,1644,1,265,24,60,DO_0000406401
322,1699,1,343,24,60,DO_0000406543
323,1700,1,329,24,60,DO_0000406546
324,1635,1,13,1,61,DO_0000406369
325,1636,1,407,24,61,DO_0000406370
326,1637,1,283,72,61,DO_0000406374
327,1638,1,3895,24,61,DO_0000406375
328,1658,1,180,24,61,DO_0000406428
329,1659,1,338,24,61,DO_0000406430
330,1660,1,280,24,61,DO_0000406437
331,1661,1,262,24,61,DO_0000406438
332,1662,1,3175,12,61,DO_0000406440
333,1663,1,3171,12,61,DO_0000406441
334,1664,1,69,24,61,DO_0000406443
335,1665,1,285,24,61,DO_0000406444
336,1666,1,8,48,61,DO_0000406445
337,1667,1,362,24,61,DO_0000406446
338,1668,1,283,72,61,DO_0000406448
339,1669,1,3655,24,61,DO_0000406450
340,1670,1,182,24,61,DO_0000406451
341,1671,1,283,72,61,DO_0000406455
342,1672,1,58,24,61,DO_0000406457
343,1682,1,161,16,61,DO_0000406475
344,1682,1,161,8,61,DO_0000406475
345,1683,1,8,48,61,DO_0000406476
346,1684,1,3676,24,61,DO_0000406483
347,1685,1,22,24,61,DO_0000406485
348,1686,1,343,24,61,DO_0000406486
349,1692,1,262,24,62,DO_0000406526
350,1693,1,329,24,62,DO_0000406529
351,1694,1,343,24,62,DO_0000406530
352,1695,1,300,24,62,DO_0000406533
353,1697,1,2129,1,62,DO_0000406541
354,1701,1,85,24,62,DO_0000406548
355,1704,1,111,24,62,DO_0000406551
356,1709,1,32,24,62,DO_0000406570
357,1715,1,283,48,62,DO_0000406731
358,1716,1,180,48,62,DO_0000406734
359,1717,1,3149,12,62,DO_0000406736
360,1718,1,283,48,62,DO_0000406737
361,1719,1,3171,12,62,DO_0000406742
362,1720,1,123,24,62,DO_0000406743
363,1721,1,28,24,62,DO_0000406744
364,1722,1,279,48,62,DO_0000406745
365,1723,1,279,48,62,DO_0000406747
366,1724,1,180,48,62,DO_0000406748
367,1725,1,3178,40,62,DO_0000406749
368,1619,1,294,24,63,DO_0000405860
369,1620,1,8,48,63,DO_0000405863
370,1621,1,8,48,63,DO_0000405868
371,1627,1,13,1,63,DO_0000406345
372,1628,1,13,1,63,DO_0000406349
373,1629,1,283,48,63,DO_0000406351
374,1630,1,182,48,63,DO_0000406352
375,1631,1,3895,48,63,DO_0000406353
376,1639,1,3895,48,63,DO_0000406377
377,1640,1,182,48,63,DO_0000406378
378,1641,1,268,24,63,DO_0000406380
379,1642,1,99,24,63,DO_0000406384
380,1643,1,262,48,63,DO_0000406386
381,1673,1,40,24,63,DO_0000406460
382,1674,1,343,24,63,DO_0000406461
383,1675,1,3178,40,63,DO_0000406464
384,1676,1,123,24,63,DO_0000406465
385,1677,1,2129,1,63,DO_0000406467
386,1678,1,168,24,63,DO_0000406468
387,1679,1,338,24,63,DO_0000406471
388,1680,1,262,48,63,DO_0000406473
389,1681,1,283,48,63,DO_0000406474
390,1687,1,3139,12,63,DO_0000406487
391,1688,1,285,24,63,DO_0000406488
392,1689,1,323,24,63,DO_0000406489
393,1690,1,9,24,63,DO_0000406493
394,1705,1,8,24,73,DO_0000406556
395,1708,1,326,24,73,DO_0000406566
396,1612,1,8,48,74,DO_0000405777
397,1613,1,368,12,74,DO_0000405778
398,1614,1,8,48,74,DO_0000405790
399,1691,1,306,24,74,DO_0000406523
400,1696,1,94,24,74,DO_0000406534
401,1698,1,175,24,74,DO_0000406542
402,1702,1,183,12,74,DO_0000406549
403,1703,1,13,3,74,DO_0000406550
404,1706,1,105,24,74,DO_0000406563
405,1707,1,114,24,74,DO_0000406565
406,1710,1,355,24,74,DO_0000406576
407,1711,1,323,24,74,DO_0000406577
408,1712,1,13,3,74,DO_0000406581
409,1713,1,69,24,74,DO_0000406586
410,1714,1,13,3,74,DO_0000406591
411,12,1,2088,2,90,DO_0000346518
412,12,1,2102,2,90,DO_0000346518
413,12,1,2151,3,90,DO_0000346518
414,12,1,2181,1,90,DO_0000346518
415,12,1,2190,3,90,DO_0000346518
416,12,1,2190,1,90,DO_0000346518
417,12,1,2197,2,90,DO_0000346518
418,12,1,2234,2,90,DO_0000346518
419,12,1,2236,2,90,DO_0000346518
420,12,1,2419,1,90,DO_0000346518
421,12,1,3103,3,90,DO_0000346518
422,12,1,3146,6,90,DO_0000346518
423,12,1,3147,8,90,DO_0000346518
424,12,1,3172,6,90,DO_0000346518
425,12,1,3173,5,90,DO_0000346518
426,12,1,3174,5,90,DO_0000346518
427,23,1,147,6,90,DO_0000346561
428,23,1,392,8,90,DO_0000346561
429,23,1,2332,1,90,DO_0000346561
430,23,1,2673,1,90,DO_0000346561
431,23,1,2732,1,90,DO_0000346561
432,23,1,3092,2,90,DO_0000346561
433,23,1,3146,3,90,DO_0000346561
434,29,1,107,24,90,DO_0000346582
435,29,1,183,12,90,DO_0000346582
436,29,1,258,4,90,DO_0000346582
437,29,1,258,8,90,DO_0000346582
438,29,1,2059,2,90,DO_0000346582
439,29,1,2081,2,90,DO_0000346582
440,29,1,2102,3,90,DO_0000346582
441,29,1,2317,2,90,DO_0000346582
442,29,1,2346,2,90,DO_0000346582
443,29,1,3043,1,90,DO_0000346582
444,29,1,3146,6,90,DO_0000346582
445,29,1,3166,10,90,DO_0000346582
446,29,1,3189,6,90,DO_0000346582
447,29,1,3341,1,90,DO_0000346582
448,29,1,3395,2,90,DO_0000346582
449,29,1,3459,1,90,DO_0000346582
450,29,1,3492,1,90,DO_0000346582
451,29,1,3602,1,90,DO_0000346582
452,29,1,3655,12,90,DO_0000346582
453,29,1,3676,48,90,DO_0000346582
454,29,1,3681,6,90,DO_0000346582
455,29,1,3806,6,90,DO_0000346582
456,54,1,28,24,90,DO_0000351304
457,54,1,29,4,90,DO_0000351304
458,54,1,94,12,90,DO_0000351304
459,54,1,123,6,90,DO_0000351304
460,54,1,180,48,90,DO_0000351304
461,54,1,181,1,90,DO_0000351304
462,54,1,260,8,90,DO_0000351304
463,54,1,2002,1,90,DO_0000351304
464,54,1,2048,4,90,DO_0000351304
465,54,1,2066,1,90,DO_0000351304
466,54,1,2111,1,90,DO_0000351304
467,54,1,2120,2,90,DO_0000351304
468,54,1,2131,2,90,DO_0000351304
469,54,1,2151,2,90,DO_0000351304
470,54,1,2176,1,90,DO_0000351304
471,54,1,2177,2,90,DO_0000351304
472,54,1,2180,2,90,DO_0000351304
473,54,1,2193,1,90,DO_0000351304
474,54,1,2272,1,90,DO_0000351304
475,54,1,2281,1,90,DO_0000351304
476,54,1,2352,1,90,DO_0000351304
477,54,1,2385,1,90,DO_0000351304
478,54,1,2392,1,90,DO_0000351304
479,54,1,2458,1,90,DO_0000351304
480,54,1,2584,1,90,DO_0000351304
481,54,1,2606,1,90,DO_0000351304
482,54,1,2607,1,90,DO_0000351304
483,54,1,2615,1,90,DO_0000351304
484,54,1,2638,1,90,DO_0000351304
485,54,1,2763,1,90,DO_0000351304
486,54,1,3072,3,90,DO_0000351304
487,54,1,3107,3,90,DO_0000351304
488,54,1,3127,6,90,DO_0000351304
489,54,1,3146,6,90,DO_0000351304
490,65,1,41,24,90,DO_0000352227
491,65,1,2067,1,90,DO_0000352227
492,65,1,3142,10,90,DO_0000352227
493,65,1,3146,6,90,DO_0000352227
494,65,1,3227,2,90,DO_0000352227
495,65,1,3343,2,90,DO_0000352227
496,70,1,22,24,90,DO_0000353034
497,70,1,265,4,90,DO_0000353034
498,70,1,265,20,90,DO_0000353034
499,70,1,290,6,90,DO_0000353034
500,70,1,298,6,90,DO_0000353034
501,70,1,323,24,90,DO_0000353034
502,70,1,430,16,90,DO_0000353034
503,70,1,3091,2,90,DO_0000353034
504,70,1,3146,6,90,DO_0000353034
505,70,1,3150,3,90,DO_0000353034
506,70,1,3171,3,90,DO_0000353034
507,85,1,399,24,90,DO_0000354187
508,85,1,2176,2,90,DO_0000354187
509,85,1,2181,1,90,DO_0000354187
510,85,1,2363,1,90,DO_0000354187
511,85,1,2419,1,90,DO_0000354187
512,85,1,2426,1,90,DO_0000354187
513,85,1,2462,1,90,DO_0000354187
514,85,1,3125,3,90,DO_0000354187
515,85,1,3146,3,90,DO_0000354187
516,85,1,4102,1,90,DO_0000354187
517,1884,1,383,40,94,DO_0000407233
518,1892,1,3119,12,94,DO_0000407248
519,1893,1,664,4,94,DO_0000407249
520,1895,1,196,24,94,DO_0000407251
521,1896,1,3184,6,94,DO_0000407252
522,1897,1,3149,24,94,DO_0000407253
523,1898,1,3149,24,94,DO_0000407254
524,1899,1,383,40,94,DO_0000407256
525,1900,1,362,24,94,DO_0000407257
526,1901,1,3069,12,94,DO_0000407258
527,1902,1,131,18,94,DO_0000407259
528,1902,1,131,6,94,DO_0000407259
529,1903,1,35,24,94,DO_0000407262
530,1906,1,3189,12,94,DO_0000407268
531,1907,1,3107,12,94,DO_0000407269
532,1946,1,3676,24,94,DO_0000407331
533,1955,1,3139,12,94,DO_0000407343
534,1959,1,170,24,94,DO_0000407347
535,1963,1,384,20,94,DO_0000407353
536,2037,1,407,24,94,DO_0000407464
537,2038,1,69,24,94,DO_0000407465
538,2046,1,32,24,94,DO_0000407479
539,1886,1,3139,24,95,DO_0000407238
540,1887,1,3069,36,95,DO_0000407241
541,1910,1,3069,36,95,DO_0000407273
542,1911,1,3119,24,95,DO_0000407275
543,1913,1,384,20,95,DO_0000407279
544,1914,1,3139,24,95,DO_0000407280
545,1915,1,3100,12,95,DO_0000407281
546,1916,1,362,18,95,DO_0000407282
547,1916,1,362,6,95,DO_0000407282
548,1953,1,287,48,95,DO_0000407339
549,1969,1,76,18,95,DO_0000407362
550,1969,1,76,6,95,DO_0000407362
551,1971,1,3655,24,95,DO_0000407365
552,1972,1,39,24,95,DO_0000407366
553,1974,1,30,24,95,DO_0000407368
554,1975,1,4,24,95,DO_0000407370
555,1976,1,287,48,95,DO_0000407372
556,1977,1,17,24,95,DO_0000407373
557,1978,1,3093,12,95,DO_0000407374
558,1984,1,3070,12,95,DO_0000407382
559,1994,1,371,12,95,DO_0000407396
560,2048,1,397,2,95,DO_0000407482
561,2050,1,406,12,95,DO_0000407485
562,2067,1,22,24,95,DO_0000407513
563,2068,1,3119,24,95,DO_0000407514
564,2069,1,20,24,95,DO_0000407515
565,2070,1,32,24,95,DO_0000407516
566,2071,1,305,24,95,DO_0000407517
567,2072,1,3069,36,95,DO_0000407519
568,2073,1,358,24,95,DO_0000407520
569,2074,1,170,24,95,DO_0000407521
570,2075,1,251,24,95,DO_0000407522
571,2025,1,3655,24,96,DO_0000407447
572,2026,1,406,12,96,DO_0000407448
573,2030,1,407,24,96,DO_0000407453
574,2032,1,166,24,96,DO_0000407455
575,2060,1,268,24,96,DO_0000407499
576,2061,1,294,24,96,DO_0000407500
577,2062,1,105,6,96,DO_0000407502
578,2062,1,105,18,96,DO_0000407502
579,2063,1,283,24,96,DO_0000407504
580,2064,1,8,24,96,DO_0000407506
581,2065,1,362,24,96,DO_0000407507
582,2066,1,170,24,96,DO_0000407509
583,14938,1,3477,1,107,MV_0000020149_1
584,14939,1,3696,12,107,MV_0000020150_1
585,14940,1,3704,9,107,MV_0000020151_1
586,14941,1,4214,1,108,MV_0000020152_1
587,14942,1,25,4,135,MV_0000020154_1
588,14943,1,60,8,135,MV_0000020155_1
589,14944,1,177,32,136,MV_0000020156_1
590,14945,1,244,8,136,MV_0000020157_1
591,14946,1,265,4,136,MV_0000020158_1
592,14947,1,306,24,137,MV_0000020159_1
593,14948,1,329,48,137,MV_0000020161_1
594,14949,1,337,4,137,MV_0000020162_1
595,1731,1,3816,4,138,DO_0000406905
596,1980,1,3814,1,138,DO_0000407377
597,2021,1,3816,4,138,DO_0000407440
598,2029,1,3816,4,138,DO_0000407451
599,2039,1,3816,4,138,DO_0000407466
600,2510,1,274,24,138,DO_0000408486
601,2512,1,3070,12,138,DO_0000408510
602,2522,1,69,24,138,DO_0000408596
603,2511,1,2107,15,139,DO_0000408489
604,2513,1,20,48,139,DO_0000408520
605,2514,1,20,48,139,DO_0000408531
606,2516,1,275,24,139,DO_0000408546
607,2518,1,166,24,139,DO_0000408561
608,2519,1,3107,12,139,DO_0000408567
609,2521,1,3175,12,139,DO_0000408578
610,2523,1,3178,40,139,DO_0000408627
611,382,1,4100,2,174,DO_0000373151
612,698,1,4099,1,174,DO_0000393498
613,14950,1,406,12,178,MV_0000020164_1
614,14951,1,794,1,179,MV_0000020166_1
615,14952,1,993,1,179,MV_0000020167_1
616,14953,1,1007,1,179,MV_0000020168_1
617,2537,1,3886,54,183,DO_0000408839
618,2537,1,3886,18,183,DO_0000408839
619,2542,1,3886,54,183,DO_0000408844
620,2542,1,3886,18,183,DO_0000408844
621,2551,1,3886,54,183,DO_0000408854
622,2551,1,3886,18,183,DO_0000408854
623,2552,1,26,24,183,DO_0000408855
624,2553,1,3867,48,183,DO_0000408856
625,2554,1,3867,48,183,DO_0000408857
626,2660,1,358,24,183,DO_0000408995
627,2664,1,180,24,183,DO_0000409002
628,2538,1,3886,72,184,DO_0000408840
629,2538,1,3886,24,184,DO_0000408840
630,2539,1,3886,72,184,DO_0000408841
631,2539,1,3886,24,184,DO_0000408841
632,2543,1,3886,72,184,DO_0000408845
633,2543,1,3886,24,184,DO_0000408845
634,2544,1,3886,72,184,DO_0000408846
635,2544,1,3886,24,184,DO_0000408846
636,2555,1,3867,24,184,DO_0000408858
637,2563,1,180,24,184,DO_0000408867
638,2563,1,180,48,184,DO_0000408867
639,2564,1,279,24,184,DO_0000408869
640,2565,1,13,1,184,DO_0000408870
641,2571,1,180,24,184,DO_0000408879
642,2571,1,180,48,184,DO_0000408879
643,2572,1,3871,24,184,DO_0000408881
644,2573,1,370,24,184,DO_0000408883
645,2574,1,384,20,184,DO_0000408884
646,2575,1,349,24,184,DO_0000408887
647,2583,1,70,24,184,DO_0000408897
648,2596,1,170,48,184,DO_0000408912
649,2596,1,170,24,184,DO_0000408912
650,2597,1,123,24,184,DO_0000408913
