item_code,quantity,number_of_orders_that_use_that_quantity,demand_probability
10000010001,5,4,0.0213903743315508
10000010001,6,52,0.27807486631016043
10000010001,7,1,0.0053475935828877
10000010001,9,1,0.0053475935828877
10000010001,10,1,0.0053475935828877
10000010001,12,34,0.18181818181818182
10000010001,14,1,0.0053475935828877
10000010001,18,23,0.12299465240641712
10000010001,19,1,0.0053475935828877
10000010001,24,1,0.0053475935828877
10000010001,28,1,0.0053475935828877
10000010001,30,5,0.026737967914438502
10000010001,36,1,0.0053475935828877
10000010001,60,1,0.0053475935828877
10000010001,72,1,0.0053475935828877
10000011001,24,656,0.5684575389948007
10000011001,48,359,0.31109185441941073
10000011001,72,62,0.053726169844020795
10000011001,96,16,0.01386481802426343
10000011001,120,5,0.004332755632582322
10000011001,144,6,0.005199306759098787
10000011001,192,8,0.006932409012131715
10000011001,240,10,0.008665511265164644
10000011001,288,12,0.010398613518197574
10000011001,480,20,0.01733102253032929
10000012001,4,55,0.45454545454545453
10000012001,8,24,0.19834710743801653
10000012001,12,6,0.049586776859504134
10000012001,16,3,0.024793388429752067
10000012001,20,3,0.024793388429752067
10000012001,24,21,0.17355371900826447
10000012001,32,1,0.008264462809917356
10000012001,40,1,0.008264462809917356
10000012001,48,6,0.049586776859504134
10000012001,52,1,0.008264462809917356
10000013001,24,48,0.9056603773584906
10000013001,48,5,0.09433962264150944
10000021001,3,1,0.011904761904761904
10000021001,4,34,0.40476190476190477
10000021001,8,15,0.17857142857142858
10000021001,12,6,0.07142857142857142
10000021001,16,1,0.011904761904761904
10000021001,20,2,0.023809523809523808
10000021001,21,1,0.011904761904761904
10000021001,24,19,0.2261904761904762
10000021001,48,4,0.047619047619047616
10000021001,83,1,0.011904761904761904
10000022001,1,26,0.38235294117647056
10000022001,2,17,0.25
10000022001,3,5,0.07352941176470588
10000022001,4,5,0.07352941176470588
10000022001,5,1,0.014705882352941176
10000022001,6,2,0.029411764705882353
10000022001,10,1,0.014705882352941176
10000022001,12,6,0.08823529411764706
10000022001,24,5,0.07352941176470588
10000023001,4,22,0.88
10000023001,8,2,0.08
10000023001,20,1,0.04
10000026001,8,312,0.6141732283464567
10000026001,16,100,0.1968503937007874
10000026001,24,49,0.09645669291338582
10000026001,32,20,0.03937007874015748
10000026001,40,8,0.015748031496062992
10000026001,48,16,0.031496062992125984
10000026001,64,1,0.001968503937007874
10000026001,72,1,0.001968503937007874
10000026001,96,1,0.001968503937007874
10000027001,4,19,0.2289156626506024
10000027001,8,17,0.20481927710843373
10000027001,12,6,0.07228915662650602
10000027001,16,11,0.13253012048192772
10000027001,20,5,0.060240963855421686
10000027001,24,16,0.1927710843373494
10000027001,28,2,0.024096385542168676
10000027001,32,3,0.03614457831325301
10000027001,36,2,0.024096385542168676
10000027001,48,2,0.024096385542168676
10000998001,1,459,0.7116279069767442
10000998001,2,173,0.2682170542635659
10000998001,3,12,0.018604651162790697
10000998001,4,1,0.0015503875968992248
10001001001,1,58,0.3670886075949367
10001001001,2,34,0.21518987341772153
10001001001,3,10,0.06329113924050633
10001001001,6,29,0.18354430379746836
10001001001,12,8,0.05063291139240506
10001001001,18,10,0.06329113924050633
10001001001,21,1,0.006329113924050633
10001001001,30,6,0.0379746835443038
10001001001,48,1,0.006329113924050633
10001001001,51,1,0.006329113924050633
10001004001,1,168,0.3783783783783784
10001004001,2,72,0.16216216216216217
10001004001,3,11,0.024774774774774775
10001004001,4,6,0.013513513513513514
10001004001,5,1,0.0022522522522522522
10001004001,6,88,0.1981981981981982
10001004001,7,1,0.0022522522522522522
10001004001,9,3,0.006756756756756757
10001004001,10,1,0.0022522522522522522
10001004001,12,46,0.1036036036036036
10001004001,15,1,0.0022522522522522522
10001004001,16,1,0.0022522522522522522
10001004001,17,1,0.0022522522522522522
10001004001,18,14,0.03153153153153153
10001004001,21,1,0.0022522522522522522
10001004001,24,8,0.018018018018018018
10001004001,31,1,0.0022522522522522522
10001004001,36,9,0.02027027027027027
10001004001,39,1,0.0022522522522522522
10001004001,48,10,0.02252252252252252
10001005001,6,41,0.40594059405940597
10001005001,12,7,0.06930693069306931
10001005001,18,5,0.04950495049504951
10001005001,24,31,0.3069306930693069
10001005001,30,2,0.019801980198019802
10001005001,36,1,0.009900990099009901
10001005001,42,1,0.009900990099009901
10001005001,48,13,0.12871287128712872
10001006001,6,293,0.5104529616724739
10001006001,12,54,0.09407665505226481
10001006001,18,10,0.017421602787456445
10001006001,24,144,0.2508710801393728
10001006001,30,2,0.003484320557491289
10001006001,36,3,0.005226480836236934
10001006001,48,55,0.09581881533101046
10001006001,72,8,0.013937282229965157
10001006001,78,1,0.0017421602787456446
10001006001,96,3,0.005226480836236934
10001006001,264,1,0.0017421602787456446
10001007001,4,11,0.5789473684210527
10001007001,8,2,0.10526315789473684
10001007001,12,2,0.10526315789473684
10001007001,16,1,0.05263157894736842
10001007001,20,1,0.05263157894736842
10001007001,24,2,0.10526315789473684
10001008001,1,2,0.03225806451612903
10001008001,5,1,0.016129032258064516
10001008001,6,44,0.7096774193548387
10001008001,12,11,0.1774193548387097
10001008001,18,2,0.03225806451612903
10001008001,24,1,0.016129032258064516
10001008001,30,1,0.016129032258064516
10001009001,2,4,0.006956521739130435
10001009001,22,3,0.0052173913043478265
10001009001,24,376,0.6539130434782608
10001009001,46,1,0.0017391304347826088
10001009001,48,154,0.2678260869565217
10001009001,72,27,0.04695652173913043
10001009001,96,4,0.006956521739130435
10001009001,120,5,0.008695652173913044
10001009001,240,1,0.0017391304347826088
10001010001,12,4,0.8
10001010001,24,1,0.2
10001012001,24,339,0.7167019027484144
10001012001,48,104,0.21987315010570824
10001012001,72,15,0.03171247357293869
10001012001,96,8,0.016913319238900635
10001012001,168,7,0.014799154334038054
10001014001,8,114,0.6909090909090909
10001014001,16,27,0.16363636363636364
10001014001,24,14,0.08484848484848485
10001014001,32,2,0.012121212121212121
10001014001,40,2,0.012121212121212121
10001014001,48,6,0.03636363636363636
10001015001,4,39,0.6
10001015001,8,13,0.2
10001015001,16,3,0.046153846153846156
10001015001,24,8,0.12307692307692308
10001015001,48,2,0.03076923076923077
10001020001,6,58,0.4915254237288136
10001020001,12,11,0.09322033898305085
10001020001,18,7,0.059322033898305086
10001020001,24,32,0.2711864406779661
10001020001,30,1,0.00847457627118644
10001020001,42,1,0.00847457627118644
10001020001,48,7,0.059322033898305086
10001020001,54,1,0.00847457627118644
10001022001,4,92,0.71875
10001022001,8,8,0.0625
10001022001,12,6,0.046875
10001022001,16,1,0.0078125
10001022001,24,15,0.1171875
10001022001,36,2,0.015625
10001022001,48,4,0.03125
10001025001,24,221,0.7491525423728813
10001025001,48,71,0.24067796610169492
10001025001,72,2,0.006779661016949152
10001025001,192,1,0.003389830508474576
10001035001,4,63,0.6923076923076923
10001035001,8,13,0.14285714285714285
10001035001,12,4,0.04395604395604396
10001035001,20,1,0.01098901098901099
10001035001,24,8,0.08791208791208792
10001035001,32,1,0.01098901098901099
10001035001,48,1,0.01098901098901099
10001041001,4,18,0.72
10001041001,8,1,0.04
10001041001,12,1,0.04
10001041001,20,1,0.04
10001041001,24,2,0.08
10001041001,48,2,0.08
10001043001,4,18,0.27692307692307694
10001043001,8,11,0.16923076923076924
10001043001,12,3,0.046153846153846156
10001043001,16,6,0.09230769230769231
10001043001,24,22,0.3384615384615385
10001043001,48,5,0.07692307692307693
10001044001,4,2,0.6666666666666666
10001044001,8,1,0.3333333333333333
10002001001,24,234,0.7381703470031545
10002001001,48,80,0.25236593059936907
10002001001,72,3,0.00946372239747634
10002003001,4,91,0.5290697674418605
10002003001,8,24,0.13953488372093023
10002003001,12,8,0.046511627906976744
10002003001,16,4,0.023255813953488372
10002003001,24,32,0.18604651162790697
10002003001,28,1,0.005813953488372093
10002003001,32,2,0.011627906976744186
10002003001,48,10,0.05813953488372093
10002005001,6,214,0.5831062670299727
10002005001,12,36,0.09809264305177112
10002005001,18,8,0.021798365122615803
10002005001,24,87,0.23705722070844687
10002005001,30,2,0.005449591280653951
10002005001,36,3,0.008174386920980926
10002005001,48,15,0.04087193460490463
10002005001,72,1,0.0027247956403269754
10002005001,168,1,0.0027247956403269754
10002006001,1,185,0.43123543123543123
10002006001,2,95,0.22144522144522144
10002006001,3,38,0.08857808857808858
10002006001,4,1,0.002331002331002331
10002006001,6,52,0.12121212121212122
10002006001,7,1,0.002331002331002331
10002006001,12,29,0.0675990675990676
10002006001,18,11,0.02564102564102564
10002006001,22,4,0.009324009324009324
10002006001,24,9,0.02097902097902098
10002006001,36,1,0.002331002331002331
10002006001,48,3,0.006993006993006993
10002007001,6,118,0.59
10002007001,12,26,0.13
10002007001,18,4,0.02
10002007001,24,39,0.195
10002007001,48,13,0.065
10002008001,24,266,0.6584158415841584
10002008001,48,99,0.24504950495049505
10002008001,72,21,0.05198019801980198
10002008001,96,5,0.012376237623762377
10002008001,120,5,0.012376237623762377
10002008001,192,8,0.019801980198019802
10002009001,4,113,0.450199203187251
10002009001,8,27,0.10756972111553785
10002009001,12,14,0.055776892430278883
10002009001,16,4,0.01593625498007968
10002009001,20,4,0.01593625498007968
10002009001,24,60,0.23904382470119523
10002009001,28,1,0.00398406374501992
10002009001,32,1,0.00398406374501992
10002009001,36,3,0.01195219123505976
10002009001,48,16,0.06374501992031872
10002009001,96,8,0.03187250996015936
10002010001,24,168,0.702928870292887
10002010001,48,61,0.25523012552301255
10002010001,72,6,0.02510460251046025
10002010001,96,4,0.016736401673640166
10002011001,4,4,0.5
10002011001,8,3,0.375
10002011001,12,1,0.125
10002012001,6,28,0.3835616438356164
10002012001,12,10,0.136986301369863
10002012001,18,2,0.0273972602739726
10002012001,24,23,0.3150684931506849
10002012001,42,1,0.0136986301369863
10002012001,48,5,0.0684931506849315
10002012001,84,4,0.0547945205479452
10002013001,24,3,0.75
10002013001,48,1,0.25
10002014001,6,72,0.4645161290322581
10002014001,12,14,0.09032258064516129
10002014001,18,12,0.07741935483870968
10002014001,24,43,0.27741935483870966
10002014001,30,2,0.012903225806451613
10002014001,42,1,0.0064516129032258064
10002014001,48,10,0.06451612903225806
10002014001,96,1,0.0064516129032258064
10002017001,1,6,0.028846153846153848
10002017001,2,3,0.014423076923076924
10002017001,4,2,0.009615384615384616
10002017001,5,1,0.004807692307692308
10002017001,6,101,0.4855769230769231
10002017001,7,1,0.004807692307692308
10002017001,11,1,0.004807692307692308
10002017001,12,44,0.21153846153846154
10002017001,18,11,0.052884615384615384
10002017001,24,11,0.052884615384615384
10002017001,30,13,0.0625
10002017001,36,9,0.04326923076923077
10002017001,48,5,0.02403846153846154
10002018001,1,3,0.0036407766990291263
10002018001,5,2,0.0024271844660194173
10002018001,6,393,0.47694174757281554
10002018001,12,114,0.1383495145631068
10002018001,18,13,0.015776699029126214
10002018001,23,1,0.0012135922330097086
10002018001,24,210,0.25485436893203883
10002018001,30,5,0.006067961165048544
10002018001,36,3,0.0036407766990291263
10002018001,48,75,0.09101941747572816
10002018001,54,2,0.0024271844660194173
10002018001,60,1,0.0012135922330097086
10002018001,72,1,0.0012135922330097086
10002018001,120,1,0.0012135922330097086
10002019001,6,5,0.01282051282051282
10002019001,12,193,0.4948717948717949
10002019001,18,3,0.007692307692307693
10002019001,24,116,0.29743589743589743
10002019001,30,1,0.002564102564102564
10002019001,36,10,0.02564102564102564
10002019001,48,53,0.1358974358974359
10002019001,60,1,0.002564102564102564
10002019001,72,1,0.002564102564102564
10002019001,84,1,0.002564102564102564
10002019001,96,1,0.002564102564102564
10002019001,120,5,0.01282051282051282
10002021001,24,358,0.750524109014675
10002021001,48,98,0.20545073375262055
10002021001,72,12,0.025157232704402517
10002021001,96,8,0.016771488469601678
10002021001,144,1,0.0020964360587002098
10002025001,1,50,0.5050505050505051
10002025001,2,25,0.25252525252525254
10002025001,3,6,0.06060606060606061
10002025001,4,1,0.010101010101010102
10002025001,5,2,0.020202020202020204
10002025001,6,5,0.050505050505050504
10002025001,8,1,0.010101010101010102
10002025001,11,1,0.010101010101010102
10002025001,12,6,0.06060606060606061
10002025001,24,2,0.020202020202020204
10002026001,12,3,0.75
10002026001,24,1,0.25
10002035001,1,108,0.5538461538461539
10002035001,2,28,0.14358974358974358
10002035001,3,11,0.05641025641025641
10002035001,4,2,0.010256410256410256
10002035001,5,4,0.020512820512820513
10002035001,6,28,0.14358974358974358
10002035001,7,1,0.005128205128205128
10002035001,8,1,0.005128205128205128
10002035001,9,1,0.005128205128205128
10002035001,12,7,0.035897435897435895
10002035001,15,1,0.005128205128205128
10002035001,24,1,0.005128205128205128
10002035001,26,1,0.005128205128205128
10002035001,48,1,0.005128205128205128
10002037001,1,5,0.7142857142857143
10002037001,2,1,0.14285714285714285
10002037001,6,1,0.14285714285714285
10002038001,1,6,0.6666666666666666
10002038001,5,2,0.2222222222222222
10002038001,6,1,0.1111111111111111
10002039001,1,1,0.25
10002039001,2,1,0.25
10002039001,9,1,0.25
10002039001,12,1,0.25
10002040001,1,31,0.3522727272727273
10002040001,2,13,0.14772727272727273
10002040001,3,3,0.03409090909090909
10002040001,4,1,0.011363636363636364
10002040001,5,1,0.011363636363636364
10002040001,6,22,0.25
10002040001,7,1,0.011363636363636364
10002040001,10,2,0.022727272727272728
10002040001,11,1,0.011363636363636364
10002040001,12,7,0.07954545454545454
10002040001,13,1,0.011363636363636364
10002040001,18,2,0.022727272727272728
10002040001,30,1,0.011363636363636364
10002040001,37,1,0.011363636363636364
10002040001,48,1,0.011363636363636364
10002045001,1,120,0.45977011494252873
10002045001,2,59,0.2260536398467433
10002045001,3,24,0.09195402298850575
10002045001,5,1,0.0038314176245210726
10002045001,6,32,0.12260536398467432
10002045001,7,2,0.007662835249042145
10002045001,12,16,0.06130268199233716
10002045001,18,6,0.022988505747126436
10002045001,24,1,0.0038314176245210726
10002046001,6,4,0.02702702702702703
10002046001,12,93,0.6283783783783784
10002046001,18,1,0.006756756756756757
10002046001,24,38,0.25675675675675674
10002046001,36,5,0.033783783783783786
10002046001,48,6,0.04054054054054054
10002046001,72,1,0.006756756756756757
10002051001,1,1,0.1
10002051001,2,1,0.1
10002051001,3,3,0.3
10002051001,6,5,0.5
10002069001,1,35,0.5555555555555556
10002069001,2,9,0.14285714285714285
10002069001,3,7,0.1111111111111111
10002069001,4,1,0.015873015873015872
10002069001,6,7,0.1111111111111111
10002069001,12,3,0.047619047619047616
10002069001,15,1,0.015873015873015872
10002071001,4,102,0.6891891891891891
10002071001,8,29,0.19594594594594594
10002071001,12,9,0.060810810810810814
10002071001,16,2,0.013513513513513514
10002071001,20,1,0.006756756756756757
10002071001,24,5,0.033783783783783786
10002072001,1,37,0.5522388059701493
10002072001,2,14,0.208955223880597
10002072001,3,3,0.04477611940298507
10002072001,4,1,0.014925373134328358
10002072001,6,9,0.13432835820895522
10002072001,12,2,0.029850746268656716
10002072001,36,1,0.014925373134328358
10002073001,6,36,0.5538461538461539
10002073001,12,10,0.15384615384615385
10002073001,18,2,0.03076923076923077
10002073001,24,15,0.23076923076923078
10002073001,48,2,0.03076923076923077
10002074001,1,48,0.45714285714285713
10002074001,2,21,0.2
10002074001,3,14,0.13333333333333333
10002074001,4,2,0.01904761904761905
10002074001,6,7,0.06666666666666667
10002074001,12,12,0.11428571428571428
10002074001,24,1,0.009523809523809525
10002078001,6,8,1.0
10002102001,12,215,0.533498759305211
10002102001,18,3,0.007444168734491315
10002102001,24,98,0.24317617866004962
10002102001,36,8,0.019851116625310174
10002102001,48,50,0.12406947890818859
10002102001,60,2,0.004962779156327543
10002102001,72,4,0.009925558312655087
10002102001,84,2,0.004962779156327543
10002102001,96,15,0.03722084367245657
10002102001,120,6,0.01488833746898263
10002899001,6,2,0.6666666666666666
10002899001,24,1,0.3333333333333333
10002906001,2,3,0.03
10002906001,4,66,0.66
10002906001,6,1,0.01
10002906001,8,11,0.11
10002906001,10,2,0.02
10002906001,12,2,0.02
10002906001,14,2,0.02
10002906001,16,1,0.01
10002906001,20,1,0.01
10002906001,22,1,0.01
10002906001,24,10,0.1
10002907001,6,121,0.5307017543859649
10002907001,12,24,0.10526315789473684
10002907001,18,5,0.021929824561403508
10002907001,24,59,0.25877192982456143
10002907001,30,4,0.017543859649122806
10002907001,36,1,0.0043859649122807015
10002907001,48,12,0.05263157894736842
10002907001,60,1,0.0043859649122807015
10002907001,96,1,0.0043859649122807015
10002911001,6,1,1.0
10002915001,4,13,0.7222222222222222
10002915001,8,2,0.1111111111111111
10002915001,12,1,0.05555555555555555
10002915001,48,2,0.1111111111111111
10002916001,2,1,0.07692307692307693
10002916001,12,12,0.9230769230769231
10002917001,1,18,0.36
10002917001,2,6,0.12
10002917001,3,4,0.08
10002917001,4,3,0.06
10002917001,5,1,0.02
10002917001,6,9,0.18
10002917001,7,1,0.02
10002917001,8,1,0.02
10002917001,9,1,0.02
10002917001,11,1,0.02
10002917001,12,5,0.1
10002918001,1,2,0.3333333333333333
10002918001,6,4,0.6666666666666666
10002919001,1,2,0.13333333333333333
10002919001,2,1,0.06666666666666667
10002919001,6,9,0.6
10002919001,12,2,0.13333333333333333
10002919001,48,1,0.06666666666666667
10002924001,1,2,0.6666666666666666
10002924001,2,1,0.3333333333333333
10002942001,6,25,0.5319148936170213
10002942001,12,5,0.10638297872340426
10002942001,18,4,0.0851063829787234
10002942001,24,11,0.23404255319148937
10002942001,36,1,0.02127659574468085
10002942001,72,1,0.02127659574468085
10002943001,12,89,0.644927536231884
10002943001,18,1,0.007246376811594203
10002943001,24,34,0.2463768115942029
10002943001,36,5,0.036231884057971016
10002943001,48,6,0.043478260869565216
10002943001,60,1,0.007246376811594203
10002943001,72,1,0.007246376811594203
10002943001,84,1,0.007246376811594203
10002944001,6,5,0.037037037037037035
10002944001,12,84,0.6222222222222222
10002944001,18,2,0.014814814814814815
10002944001,24,28,0.2074074074074074
10002944001,36,7,0.05185185185185185
10002944001,48,5,0.037037037037037035
10002944001,60,2,0.014814814814814815
10002944001,204,1,0.007407407407407408
10002944001,216,1,0.007407407407407408
10002990001,2,1,0.0625
10002990001,6,3,0.1875
10002990001,10,1,0.0625
10002990001,14,1,0.0625
10002990001,24,7,0.4375
10002990001,48,3,0.1875
10002992001,1,281,0.8005698005698005
10002992001,2,58,0.16524216524216523
10002992001,3,3,0.008547008547008548
10002992001,4,7,0.019943019943019943
10002992001,5,1,0.002849002849002849
10002992001,7,1,0.002849002849002849
10010001001,6,1,1.0
10010002001,6,115,0.16452074391988555
10010002001,12,29,0.04148783977110158
10010002001,18,7,0.010014306151645207
10010002001,24,364,0.5207439198855508
10010002001,30,3,0.004291845493562232
10010002001,36,3,0.004291845493562232
10010002001,48,155,0.2217453505007153
10010002001,54,1,0.001430615164520744
10010002001,72,9,0.012875536480686695
10010002001,96,13,0.01859799713876967
10010004001,6,82,0.19951338199513383
10010004001,12,20,0.04866180048661801
10010004001,18,5,0.012165450121654502
10010004001,24,202,0.49148418491484186
10010004001,36,1,0.0024330900243309003
10010004001,48,91,0.22141119221411193
10010004001,72,3,0.0072992700729927005
10010004001,96,6,0.014598540145985401
10010004001,720,1,0.0024330900243309003
10010007001,6,3,0.75
10010007001,18,1,0.25
10010009001,4,11,0.55
10010009001,8,4,0.2
10010009001,20,3,0.15
10010009001,24,2,0.1
10010012001,4,9,0.391304347826087
10010012001,8,4,0.17391304347826086
10010012001,12,1,0.043478260869565216
10010012001,24,7,0.30434782608695654
10010012001,48,2,0.08695652173913043
10010018001,24,14,0.7777777777777778
10010018001,48,4,0.2222222222222222
10010019001,6,15,0.4166666666666667
10010019001,12,2,0.05555555555555555
10010019001,18,17,0.4722222222222222
10010019001,36,2,0.05555555555555555
10010023001,6,1,1.0
10010026001,6,43,0.524390243902439
10010026001,12,5,0.06097560975609756
10010026001,18,2,0.024390243902439025
10010026001,24,23,0.2804878048780488
10010026001,48,5,0.06097560975609756
10010026001,72,3,0.036585365853658534
10010026001,96,1,0.012195121951219513
10010027001,24,2,0.25
10010027001,96,4,0.5
10010027001,192,1,0.125
10010027001,288,1,0.125
10010035001,6,72,0.1722488038277512
10010035001,12,13,0.03110047846889952
10010035001,18,3,0.007177033492822967
10010035001,24,234,0.5598086124401914
10010035001,30,1,0.0023923444976076554
10010035001,48,91,0.21770334928229665
10010035001,54,1,0.0023923444976076554
10010035001,72,3,0.007177033492822967
10010042001,6,21,0.7
10010042001,18,3,0.1
10010042001,24,4,0.13333333333333333
10010042001,48,2,0.06666666666666667
10010043001,6,23,0.6571428571428571
10010043001,12,2,0.05714285714285714
10010043001,24,10,0.2857142857142857
10010044001,6,2,1.0
10011001001,6,53,0.2535885167464115
10011001001,12,12,0.05741626794258373
10011001001,18,3,0.014354066985645933
10011001001,24,101,0.48325358851674644
10011001001,48,40,0.19138755980861244
10011003001,6,160,0.6324110671936759
10011003001,12,56,0.22134387351778656
10011003001,18,8,0.03162055335968379
10011003001,24,18,0.07114624505928854
10011003001,30,2,0.007905138339920948
10011003001,36,3,0.011857707509881422
10011003001,42,1,0.003952569169960474
10011003001,48,4,0.015810276679841896
10011003001,96,1,0.003952569169960474
10011004001,6,6,0.46153846153846156
10011004001,12,1,0.07692307692307693
10011004001,18,6,0.46153846153846156
10011007001,1,6,0.375
10011007001,2,2,0.125
10011007001,3,1,0.0625
10011007001,6,1,0.0625
10011007001,7,1,0.0625
10011007001,9,1,0.0625
10011007001,12,1,0.0625
10011007001,13,1,0.0625
10011007001,17,1,0.0625
10011007001,24,1,0.0625
10011008001,1,21,0.328125
10011008001,2,28,0.4375
10011008001,3,3,0.046875
10011008001,4,4,0.0625
10011008001,6,5,0.078125
10011008001,7,2,0.03125
10011008001,10,1,0.015625
10011016001,6,72,0.3444976076555024
10011016001,12,10,0.04784688995215311
10011016001,18,2,0.009569377990430622
10011016001,24,90,0.430622009569378
10011016001,30,1,0.004784688995215311
10011016001,48,31,0.14832535885167464
10011016001,72,3,0.014354066985645933
10011021001,6,19,0.4523809523809524
10011021001,12,3,0.07142857142857142
10011021001,18,1,0.023809523809523808
10011021001,24,17,0.40476190476190477
10011021001,30,1,0.023809523809523808
10011021001,48,1,0.023809523809523808
10011023001,6,67,0.5537190082644629
10011023001,12,16,0.1322314049586777
10011023001,18,2,0.01652892561983471
10011023001,24,33,0.2727272727272727
10011023001,48,3,0.024793388429752067
10011028001,1,1,0.0625
10011028001,2,3,0.1875
10011028001,3,1,0.0625
10011028001,4,3,0.1875
10011028001,5,1,0.0625
10011028001,6,7,0.4375
10012002001,1,1,0.25
10012002001,2,1,0.25
10012002001,7,1,0.25
10012002001,24,1,0.25
10012004001,1,17,0.11409395973154363
10012004001,2,27,0.18120805369127516
10012004001,3,8,0.053691275167785234
10012004001,4,5,0.03355704697986577
10012004001,5,2,0.013422818791946308
10012004001,6,11,0.0738255033557047
10012004001,9,1,0.006711409395973154
10012004001,11,1,0.006711409395973154
10012004001,12,29,0.19463087248322147
10012004001,15,1,0.006711409395973154
10012004001,24,24,0.1610738255033557
10012004001,26,23,0.15436241610738255
10012006001,6,56,0.5833333333333334
10012006001,12,17,0.17708333333333334
10012006001,18,4,0.041666666666666664
10012006001,24,15,0.15625
10012006001,30,1,0.010416666666666666
10012006001,48,3,0.03125
10012008001,6,2,0.5
10012008001,12,2,0.5
10012009001,1,4,0.5714285714285714
10012009001,2,3,0.42857142857142855
10012011001,6,44,0.3055555555555556
10012011001,12,12,0.08333333333333333
10012011001,18,2,0.013888888888888888
10012011001,24,52,0.3611111111111111
10012011001,36,1,0.006944444444444444
10012011001,48,27,0.1875
10012011001,72,6,0.041666666666666664
10012899001,4,39,0.36792452830188677
10012899001,8,15,0.14150943396226415
10012899001,12,8,0.07547169811320754
10012899001,16,3,0.02830188679245283
10012899001,20,1,0.009433962264150943
10012899001,24,19,0.1792452830188679
10012899001,28,4,0.03773584905660377
10012899001,44,3,0.02830188679245283
10012899001,48,13,0.12264150943396226
10012899001,96,1,0.009433962264150943
10012907001,6,34,0.7391304347826086
10012907001,12,2,0.043478260869565216
10012907001,18,3,0.06521739130434782
10012907001,24,5,0.10869565217391304
10012907001,48,1,0.021739130434782608
10012907001,96,1,0.021739130434782608
10013003001,6,96,0.4067796610169492
10013003001,12,17,0.07203389830508475
10013003001,18,3,0.012711864406779662
10013003001,24,101,0.4279661016949153
10013003001,36,1,0.00423728813559322
10013003001,48,18,0.07627118644067797
10013004001,1,3,0.5
10013004001,3,1,0.16666666666666666
10013004001,6,1,0.16666666666666666
10013004001,12,1,0.16666666666666666
10013005001,6,28,0.17391304347826086
10013005001,12,11,0.06832298136645963
10013005001,18,1,0.006211180124223602
10013005001,24,85,0.5279503105590062
10013005001,30,1,0.006211180124223602
